,segment,brand,site,inn,name,revenue_year,revenue,source
0,btl,ARS MAGNA,https://btl-agency.ru/,7842091139,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БТЛ РЕГИОН""",2024,325614000,list_org
1,btl,emg,https://emg.ru/,7701810493,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭМГ""",2024,832901000,list_org
2,btl,OPEN Group,https://open-com.ru/,7725693725,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОУПЕН МСК""",2024,9130820000,list_org
3,btl,Creon,https://creon-cg.com/,7734366435,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИ ДЖИ СИ""",2024,764480000,list_org
5,btl,N:OW,https://now-agency.ru/,7714369117,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМО МЕДИА ГРУПП""",2024,513869000,list_org
6,btl,Sport Media Alliance,https://sma-russia.ru/,7839439592,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТ МЕДИА""",2024,296044000,list_org
7,btl,АЛИДИ Продвижение,https://alidi-agency.ru/,7801379087,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛИДИ ПРОДВИЖЕНИЕ""",2024,1700600000,list_org
8,btl,Хорошие люди,https://www.horoshie-ludi.ru/,7723860427,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГОЛДЕН ШЕЛФ""",2024,326936000,list_org
9,btl,Ambitica,https://www.ambitica.ru/,7701095966,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМБИТИКА МЕДИА ПЛЮС""",2024,837862000,list_org
11,btl,BrandNew,https://www.brandnew.ru/,7703254428,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРЕНДНЬЮ""",2024,1089630000,list_org
15,btl,Progression Group,https://progressiongroup.ru/,7725641460,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОГРЕШЕН""",2024,562172000,list_org
16,btl,RED Agency,https://red-agency.ru/,7714871694,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭД ЭДЖЕНСИ""",2024,455541000,list_org
18,btl,SEVEN,https://7-agency.ru/,7725611120,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СЕВЕН""",2024,1231740000,list_org
22,full_cycle,Группа АДВ,https://advgroup.ru/,7725684505,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДВ""",2024,734140000,list_org
23,full_cycle,Deltaplan,https://delta-plan.ru/,6662126172,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЛЬТА-ПЛАН""",2024,1576690000,list_org
25,full_cycle,Аймарс,http://imars.ru,9701293584,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙМАРС МЕДИА""",2024,772147000,list_org
27,full_cycle,Eventum Premo,https://eventum-premo.ru/,7701752869,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВЕНТУМ. КОНФЕРЕНЦИИ И СЕМИНАРЫ""",2024,953123000,list_org
28,full_cycle,Родная речь,https://rore.group/,7743068844,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАЙОН КОММЬЮНИКЕЙШНЗ""",2024,4188740000,list_org
29,full_cycle,Young Capital,http://www.youngcapital.ru/,7706185814,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯНГ КАПИТАЛ""",2024,278236000,list_org
